sentences,type
hinA ke lie eka kEba buka kareM,cab_book
puswI xoRI ke lie eka kEba buka kareM,cab_book
mITI ke lie buka kEba,cab_book
kqpayA BAgIrAWa caMdolA ke lie kEba buka kareM,cab_book
puswaka kEba ke lie iMxranIla se deharI se caraKI xAxarI waka,cab_book
mEM wirupawi havAI adde para jAnA cAhUMgA,cab_book
mEM haraxoI jAnA cAhUMgA,cab_book
kyA mEM jAlanA se sahArA iMdiyA parivAra waka eka tEksI buka kara sakawA hUM,cab_book
CiMxavAdZA se XubarI waka eka tEksI buka kareM,cab_book
mere lie eka tEksI vyavasWiwa karane ke lie Bexacala,cab_book
mArca se buka tEksI ArA se jAlI grAMta eyaraporta,cab_book
xevanikA ke lie eka kEba buka kareM,cab_book
nIlakAMwa pevara ke lie eka kEba buka kareM,cab_book
ravi ke lie puswaka kEba,cab_book
menakA nAyara ke lie kqpayA kEba buka kareM,cab_book
umA se uramA se jaSapura waka buka kEba,cab_book
mEM jEsalamera havAI adde para jAnA cAhUMgA,cab_book
mEM parihAra jAnA cAhUMgA,cab_book
kyA mEM GarOMdA se yuskavarIja samUha waka eka tEksI buka kara sakawA hUM,cab_book
bijanOra se rAyacUra waka eka tEksI buka kareM,cab_book
mere lie jEnagara ko eka tEksI vyavasWiwa kareM,cab_book
mArca se buka tEksI mAlaxA se jAmanagara havAI adde waka,cab_book
lokaparakASa ke lie eka kEba buka kareM,cab_book
kqRNA halaxara ke lie eka kEba buka kareM,cab_book
kAlInadI ke lie puswaka kEba,cab_book
wuRAra XAra ke lie kqpayA kEba buka kareM,cab_book
bIkAnera se unnAva waka rASi ke lie puswaka kEba,cab_book
mEM vArANasI havAI adde para jAnA cAhUMgA,cab_book
mEM vadoxarA jAnA cAhUMgA,cab_book
kyA mEM saMbalapura se jeta eyaraveja waka eka tEksI buka kara sakawA hUM,cab_book
wejapura se mowihArI waka eka tEksI buka kareM,cab_book
qRikeSa ke lie mere lie eka tEksI vyavasWiwa kareM,cab_book
buka tEksI se xisambara sehAta se kullU eyaraporta waka,cab_book
_Chatrica_ ke lie eka kEba buka kareM,cab_book
iMxirA WApara ke lie eka kEba buka kareM,cab_book
mInA ke lie puswaka kEba,cab_book
wIrWa KoMdakara ke lie kqpayA kEba buka kareM,cab_book
buka kEba POYra era se BadZOca se jaSapura waka,cab_book
mEM Cawrapawi jAnA cAhawA hUM mahArAja SivAjI aMwararARtrIya havAI adde,cab_book
mEM rAyabarelI jAnA cAhUMgA,cab_book
kyA mEM rAyabarelI se hIro hoMdA waka eka tEksI buka kara sakawA hUM,cab_book
hanama sedA se kErA waka eka tEksI buka kareM,cab_book
mere lie eka tEksI vyavasWiwa karane ke lie arAkoNama,cab_book
bukara tEksI para vIravAra se hubalI se bilAsapura eyaraporta waka,cab_book
BAgyalakRmI ke lie eka kEba buka kareM,cab_book
caMxrA pawaMga ke lie eka kEba buka kareM,cab_book
ravi ke lie puswaka kEba,cab_book
pUjA wirumUlapa ke lie kqpayA kEba buka kareM,cab_book
buka kEba POYra kalpiwA se jAMgIpura se xevariyA waka,cab_book
mEM Cawrapawi jAnA cAhawA hUM mahArAja SivAjI aMwararARtrIya havAI adde,cab_book
mEM hoSiyArapura jAnA cAhUMgA,cab_book
kyA mEM wenAlI se hIro hoMdA waka eka tEksI buka kara sakawA hUM,cab_book
deharI se suwAlAnagaMja waka eka tEksI buka kareM,cab_book
baharAIca ke lie mere lie eka tEksI vyavasWiwa kareM,cab_book
buka tEksI se ravivAra se lekara jabalapura havAI adde waka,cab_book
nexA ke lie eka kEba buka kareM,cab_book
sawyavawI KannA ke lie eka kEba buka kareM,cab_book
xivAkara ke lie puswaka kEba,cab_book
kqpayA qRaBa harI ke lie kEba buka kareM,cab_book
kolAra se jasIdIha waka namrawA ke lie puswaka kEba,cab_book
mEM wirupawi havAI adde para jAnA cAhUMgA,cab_book
mEM itAvA jAnA cAhUMgA,cab_book
kyA mEM bagahA se BArawI iMtaraprAijeja waka eka tEksI buka kara sakawA hUM,cab_book
mumbaI se porabaMxara waka eka tEksI buka kareM,cab_book
gudZagAMva ke lie mere lie eka tEksI vyavasWiwa kareM,cab_book
buXavAra ko buka tEksI se mEgo se SrInagara havAI adde waka,cab_book
pallavI ke lie eka kEba buka kareM,cab_book
raMjana xaSa ke lie eka kEba buka kareM,cab_book
harRinI ke lie puswaka kEba,cab_book
kAminI jaMpanA ke lie kqpayA kEba buka kareM,cab_book
kiwAba kEba ke lie uRmA se haraxoI se sAsArAma waka,cab_book
mEM vArANasI havAI adde para jAnA cAhUMgA,cab_book
mEM jayanagara jAnA cAhUMgA,cab_book
kyA mEM baharIIca se vIdiyokOYna waka eka tEksI buka kara sakawA hUM,cab_book
rAjamahala se maCalIpattanama waka eka tEksI buka kareM,cab_book
AgarA ke lie mere lie eka tEksI vyavasWiwa kareM,cab_book
boXagayA se rAjamuMxarI eyaraporta waka Sanicara para puswaka tEksI,cab_book
sukumAra ke lie eka kEba buka kareM,cab_book
vawsala siMha ke lie eka kEba buka kareM,cab_book
karukA ke lie puswaka kEba,cab_book
maXulikA xvivexI ke lie kqpayA kEba buka kareM,cab_book
jammagIpura se wenAlI waka yaSoXarA ke lie puswaka kEba,cab_book
mEM rARtrIya havAI adde para jAnA cAhUMgA,cab_book
mEM meraWa jAnA cAhUMgA,cab_book
kyA mEM eka tEksI buka kara sakawA hUM agarawalA se neSanala Warmala pAvara nigama (enatIpIsI),cab_book
ItAnagara se arariyA waka eka tEksI buka kareM,cab_book
mere lie eka tEksI Ayojiwa kareM sarAyakelA KarasAMvAM,cab_book
SanivAra ko buka tEksI Apakura se birasA muMdA havAI adde waka,cab_book
kqwi ke lie eka kEba buka kareM,cab_book
aBie caMxAvarakara ke lie eka kEba buka kareM,cab_book
vESAlI ke lie puswaka kEba,cab_book
saMxIpa vAnagapaMdu ke lie kqpayA kEba buka kareM,cab_book
puswaka kEba POYra sqmoMtinI se xevAsa se maXubanI waka,cab_book
mEM caMdIgaDZa havAI adde para jAnA cAhUMgA,cab_book
mEM jUnAgaDZa jAnA cAhUMgA,cab_book
kyA mEM joXapura se lArsana EMda tubro waka eka tEksI buka kara sakawA hUM,cab_book
GAtaSilA se naMxaxedZa waka eka tEksI buka kareM,cab_book
mere lie eka tEksI vyavasWiwa karane ke lie bihiyA,cab_book
puswaka tEksI para vIravAra se pawarAwU se lekarananagara havAI adde waka,cab_book
viRNu ke lie eka kEba buka kareM,cab_book
saMcIwA saMkaramaMcI ke lie eka kEba buka kareM,cab_book
amola ke lie puswaka kEba,cab_book
kqpayA pArwA marAja ke lie kEba buka kareM,cab_book
porta bleyara se BInamAla waka samrAta ke lie buka kEba,cab_book
mEM rAjA sAzsI havAI aMwararARtrIya havAI adde para jAnA cAhUMgA,cab_book
mEM jagaxalapura jAnA cAhUMgA,cab_book
kyA mEM cakraXarapura se jiMxala stIla waka eka tEksI buka kara sakawA hUM,cab_book
BaxrAcala se lAmadiMga waka eka tEksI buka kareM,cab_book
maMxasOra ke lie mere lie eka tEksI vyavasWiwa kareM,cab_book
SanivAra ko sIwApura se koyaMbawUra eyaraporta waka buka tEksI,cab_book
guru ke lie eka kEba buka kareM,cab_book
harilAla muxarawA ke lie eka kEba buka kareM,cab_book
rUpina ke lie puswaka kEba,cab_book
vijaya palAlA ke lie kqpayA kEba buka kareM,cab_book
puswaka kEba ke lie ila se kolhApura se laKIsarAya waka,cab_book
mEM birasA muMdA havAI adde para jAnA cAhUMgA,cab_book
mEM iMPAla jAnA cAhUMgA,cab_book
kyA mEM praxIpeta se yUniyana bEMka waka eka tEksI buka kara sakawA hUM,cab_book
cunAra se karanAla waka eka tEksI buka kareM,cab_book
