sentences,type
हिना के लिए एक कैब बुक करें,1
पुस्ती दोषी के लिए एक कैब बुक करें,1
मीठी के लिए बुक कैब,1
कृपया भागीराथ चंडोला के लिए कैब बुक करें,1
पुस्तक कैब के लिए इंद्रनील से डेहरी से चरखी दादरी तक,1
मैं तिरुपति हवाई अड्डे पर जाना चाहूंगा,1
मैं हरदोई जाना चाहूंगा,1
क्या मैं जालना से सहारा इंडिया परिवार तक एक टैक्सी बुक कर सकता हूं,1
छिंदवाड़ा से धुबरी तक एक टैक्सी बुक करें,1
मेरे लिए एक टैक्सी व्यवस्थित करने के लिए भेदचल,1
मार्च से बुक टैक्सी आरा से जाली ग्रांट एयरपोर्ट,1
देवनिका के लिए एक कैब बुक करें,1
नीलकांत पेवर के लिए एक कैब बुक करें,1
रवि के लिए पुस्तक कैब,1
मेनका नायर के लिए कृपया कैब बुक करें,1
उमा से उरमा से जशपुर तक बुक कैब,1
मैं जैसलमेर हवाई अड्डे पर जाना चाहूंगा,1
मैं परिहार जाना चाहूंगा,1
क्या मैं घरौंडा से युस्कवरीज समूह तक एक टैक्सी बुक कर सकता हूं,1
बिजनौर से रायचूर तक एक टैक्सी बुक करें,1
मेरे लिए जैनगर को एक टैक्सी व्यवस्थित करें,1
मार्च से बुक टैक्सी मालदा से जामनगर हवाई अड्डे तक,1
लोकपरकाश के लिए एक कैब बुक करें,1
कृष्णा हलदर के लिए एक कैब बुक करें,1
कालीनडी के लिए पुस्तक कैब,1
तुषार धार के लिए कृपया कैब बुक करें,1
बीकानेर से उन्नाव तक राशि के लिए पुस्तक कैब,1
मैं वाराणसी हवाई अड्डे पर जाना चाहूंगा,1
मैं वडोदरा जाना चाहूंगा,1
क्या मैं संबलपुर से जेट एयरवेज तक एक टैक्सी बुक कर सकता हूं,1
तेजपुर से मोतिहारी तक एक टैक्सी बुक करें,1
ऋषिकेश के लिए मेरे लिए एक टैक्सी व्यवस्थित करें,1
